	"10_6_5_11" "9_6_5_11" "purep53" "JMS8-2" "JMS8-3" "JMS8-4" "JMS8-5" "JMS9-P7c" "JMS9-P8c"
"Crygf" 0 0 0 0 0 0 0 0 0
"Map2" 7245 2034 10065 8958 6692 11583 11263 1020 4451
"Gm10558" 3 0 2 2 4 3 3 0 0
"Unc80" 700 123 226 174 268 909 286 30 145
"Rpe" 1135 1413 2030 1391 2677 1843 1359 1039 729
"Kansl1l" 1429 651 5148 3918 2128 3746 6315 456 811
"Acadl" 4392 3838 12417 7930 8618 8303 8048 1869 2219
"100862127" 31 6 12 3 13 28 24 7 15
"Myl1" 0 2 10 5 25 1 1 9 0
"Lancl1" 900 1492 4103 2981 2974 1580 2942 921 585
"Cps1" 0 0 1 0 3 1 0 0 0
"Erbb4" 630 213 15 17 723 743 33 105 271
"Gm19335" 0 0 0 0 0 0 0 0 0
"Ikzf2" 482 267 1010 861 626 591 1423 227 404
"Spag16" 0 0 0 1 0 0 2 0 0
"Vwc2l" 0 0 0 0 0 0 0 0 0
"Bard1" 45 64 680 552 117 92 513 31 35
"Abca12" 5 3 184 206 9 7 195 97 5
"Atic" 1843 2470 5869 5294 5195 2715 3541 1415 1010
"Fn1" 3307 4295 7487 7688 1995 14451 9806 830 2621
"Apol7d" 0 0 1 1 0 0 0 0 0
"Gm8883" 3 1 0 2 0 0 0 0 0
"4933417E11Rik" 0 2 0 1 0 0 0 0 0
"Gm5528" 10 10 26 7 9 7 7 2 0
"Mreg" 54 27 2101 1402 100 181 1388 71 14
"Pecr" 202 251 691 537 593 375 484 121 125
"Tmem169" 0 0 42 30 2 2 23 1 0
"Xrcc5" 407 823 3835 3621 2125 990 3192 598 361
"March4" 1 0 46 42 1 3 29 0 0
"Smarcal1" 757 808 2083 2048 1648 1062 1610 585 514
"Ankar" 0 0 1 1 0 0 2 0 1
"Rpl37a" 441 521 925 594 778 609 588 217 227
"Igfbp2" 49 45 26083 21655 119 505 18997 24 69
"Igfbp5" 356596 72314 261496 318361 302090 483803 348103 31343 168175
"Tnp1" 0 0 1 0 0 0 0 0 0
"1700027A15Rik" 0 0 0 0 0 0 1 0 1
"Pinc" 1481 116 238 149 486 2209 249 46 614
"D530049I02Rik" 98 9 9 15 52 159 18 2 49
"6030407O03Rik" 0 0 26 10 0 1 28 0 0
"Tns1" 570 287 9509 15233 1088 1227 11320 375 315
"Rufy4" 16 9 263 242 50 44 713 9 16
"100862357" 0 0 0 0 0 0 0 0 0
"Cxcr2" 3 4 9 10 2 1 7 0 0
"Cxcr1" 0 0 0 0 0 0 0 0 0
"Mir1928" 0 0 0 0 0 0 0 0 0
"Arpc2" 4978 6817 12435 11568 16634 11393 11242 4397 3707
"Gpbar1" 4 1 5 4 3 7 8 0 0
"Aamp" 5096 6560 10794 8273 13595 8997 9237 3431 2876
"Pnkd" 285 366 1197 984 823 578 1028 224 141
"Tmbim1" 7521 5617 5858 4933 14632 14064 9552 3159 4471
"Catip" 1 1 18 18 2 8 15 1 1
"Slc11a1" 6 3 27 39 20 10 52 13 7
"Ctdsp1" 1727 1862 3257 3510 4315 3035 2665 1187 1132
"Mir26b" 0 1 0 2 5 0 3 2 0
"Vil1" 12 9 35 63 19 16 61 5 3
"Usp37" 1540 2295 5038 3482 6101 4342 6515 2034 1373
"Cnot9" 777 1281 2917 2516 3076 1766 1863 738 505
"Plcd4" 10 14 215 311 85 67 171 10 12
"Zfp142" 1075 1013 4501 4176 3201 2812 4558 686 735
"Bcs1l" 479 534 776 731 1084 652 493 279 251
"Rnf25" 649 1066 1500 1345 2391 1579 2007 763 536
"Stk36" 163 389 341 295 795 279 408 234 129
"Ttll4" 1273 1416 1983 1566 3232 2564 3058 1105 1018
"Cyp27a1" 19 42 286 284 54 51 371 35 25
"Prkag3" 1 0 153 43 1 7 70 0 0
"Wnt6" 33 12 4942 3058 27 69 1810 10 24
"Wnt10a" 3 10 6291 4704 27 22 5981 25 6
